country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Dominican Republic,,,,,,,72.5,,,,,,,,,,,,,,,,,,,,,87.2,,,,,88.3,,,89.7,90.2
Algeria,,,,,,,,,,,,,35.8,,,,,,,,,,,,,,,60.1,,,,63.9,,,,,
Ecuador,,,,,,,,80.4,,,,,,,,86.2,,,,,,,,,,,89.7,,,,,,81.7,,81.5,90.5,90.2
Egypt,,22.4,,,,,,,,,,31.4,,,,,,,,,,43.6,,,,,,,,,59.4,57.8,,,,63.5,64.6
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,,59
Spain,,,,,,,89.9,,,,,,,,,,95,,,,,,,,,,,,,,96.9,,97.3,96.9,96.9,97,
Estonia,,,,,,,,,,,,,,,99.6,,,,,,,,,,,99.8,,,,,,,,,,,99.8
Ethiopia,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,22.8,18,,28.9,,,,
Gabon,,,,,,,,,,,,,,,,,,,65.3,,,,,,,,,,,79.3,,,,,,,85.6
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,99.7
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,,,,,,,,,,65.3,
Guinea,,,,,,,,,,,,,,,,,,,,,,9.74,,,,,,,18.2,,,,,,,12.2,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,,,,,,,41.9
Guinea-Bissau,,,,,8.59,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,42.1
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,81.6,,,,,,,,,,,91.1
Greece,,,,,,,85.3,,,,,,,,,,89.3,,,,,,,,,,94.2,,,,,,,,,,96.3
Guatemala,,,,,,,,,,,,,,,,,,,,57.3,,,,,,,,63.3,,,,,,,,,71.1
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,,,,,,83.5,,,84.7,84.9
Croatia,,,,,,,,,,,,,,,,,94.8,,,,,,,,,,97.1,,,,,,,,,,98.3
Haiti,,,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,54.9,,,44.6,,,,,
Hungary,,,,,,98.5,,,,,,,,,,,,,,98.7,,,,,,,,,,98.8,,,,,,,98.9
Indonesia,,,,,,57.7,,,,,,,,,,75.3,,,,,,,,,,,,,,86.8,,88.8,,89.1,89.7,,90.1
India,,,,,,,25.7,,,,,,,,,,33.7,,,,,,,,,,47.8,,,,,50.8,,,,,
Iran,,24.4,,,,,,,,,,41,,,,,56.2,,,,,66.1,,,,,,70.4,,,76.8,77.2,,80.7,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,,71.2
Israel,,,,,,,,,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,95.5,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,98.7
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,85.9,,,,,,,,,,,,91.8
Jordan,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,84.7,,87,,88.9,,,89.2,93.9
Kazakhstan,,,,,,,,,,,,,,,96.1,,,,,,,,,,99.3,,,,,,,,,,99.7,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,77.9,,,,,,,66.9,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,,,,,,,,,99,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,64,,,,70.9,65.9,,
Kuwait,48,,,,,59.1,,,,,68.8,,,,,,,,,,74.2,,,,,,,,,,91,90.8,91.5,91.8,,,
Lao,,,,,,,,,,,,,,,,,,,,,47.9,,,,,58.5,60.9,,,,63.2,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,
Liberia,,,,,,,,,,19.3,,,,,,,,,,32,,,,,,,,,,47.9,,,27,,,,
Libya,,,,,,,,,,42.3,,,,,,,,,,65,,,,,,,,,,78.2,,,,,,,83.3
Sri Lanka,,,,,,,82,,,,,,,,,,,,,,,,,,,,89.1,,,,,89.1,,89.1,,90,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,85,,
Lithuania,,,,,,,,,,,,,,,97.8,,,,,,,,,,,,99.7,,,,,,,,,,99.7
Latvia,,,,,,,,,,,,,,,99.2,,,,,,,,,,,99.7,,,,,,,,,,,99.8
"Macao, China",,,,,,,86.2,,,,,,,,,,,,,,,,,,,,87.8,,,,,90.7,,,,,93.7
Morocco,,,,,,,,17.5,,,,,,,,,,,,28.7,,,,,,,,,,39.6,,,,42.6,43.9,,57.6
Moldova,,,,,,,,,,,,,,,94.4,,,,,,,,,,,95.5,,,,,,,,,,,98.5
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,,,,,,,,,61.6,,
Maldives,,,82.2,,,,,,,,92.4,,,,,96.2,,,,,96.4,,,,,96.4,,,,,,98.4,,,,,
Mexico,,,,,,79.9,,,,,,,,,,85,,,,,,,,,,88.7,,88.7,,89.6,90.2,89.8,91.4,91.5,92.1,91.8,92.3
North Macedonia,,,,,,,,,,,,,,,,,,,,90.9,,,,,,,,94.1,,,,,,,,,96
Mali,,5.74,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,15.9,,,18.2,,,,20.3,24.6
Malta,,,,,,,,,,,88.3,,,,,,,,,,89.2,,,,,,,,,,93.5,,,,,,
Myanmar,,,,,,,,,71.6,,,,,,,,,,,,,,,,,86.4,,,,,,,,,,,90.4
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,,,,,,,,97.9
Mozambique,,,,,,12.2,,,,,,,,,,,,,,,,,25,,,,,,33.2,,,,,,36.5,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,52
Mauritius,,,,,,,,,,,,,,,,74.7,,,,,,,,,,80.5,,,,,,,,,,,86.7
Malawi,,,,,,,,,,,,,33.5,,,,,,,,,,,54,,,,,,,,,,,,51.3,
Malaysia,,,,,,61.3,,,,,,,,,,,77.3,,,,,,,,,85.3,,,,,,,,,,90.8,
Namibia,,,,,,,,,,,,,,,,,74,,,,,,,,,,83.5,,,,,,78.3,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,15.1,,,,,,
Nigeria,,,,,,,,,,,,,,,,,43.7,,,,,,,,,,,,43.3,,,,,41.4,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,,,77.9,,,,,,
Nepal,,,,,,,9.15,,,,,,,,,,17.4,,,,,,,,,,34.9,,,,,,,,,,46.7
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,,,,,80.9,,81.8,
Pakistan,,,,,,,14.8,,,,,,,,,,,,,,,,,29,,,,,,,35.4,39.6,,40.1,40.3,,
Panama,,,,,,88,,,,,,,,,,88.2,,,,,,,,,,91.3,,,,,,,,,,93.5,
Peru,,,,,,,73.9,,,,,,,,,,,,81.7,,,,,,,,,,,82.1,82.5,83.5,84.7,,,,
Philippines,,,,,,82.8,,,,,,,,,,93.2,,,,,,,,,,92.7,,,93.6,,,,,95.8,,,
Palau,,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,,,,,,,,,,,59.4
Poland,,,,98.3,,,,,,,,,,,,,,,,99.1,,,,,,,,,,99.4,,,,,,,99.6
Puerto Rico,,,,,,85.8,,,,,,,,,,89.7,,,,,,,,,,,,,,91,,,,,,,90.9
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
Portugal,,,,,,,74.6,,,,,,,,,,84.7,,,,,,,,,,,,,,,,,,,,94
Paraguay,,,,,,,,75.8,,,,,,,,,,88.6,,,,,,,,,,,,,,,93.5,92.5,93.1,92.9,
Palestine,,,,,,,,,,,,,,,,,,,,,,,79.7,,,,,,,88,,89.8,90.5,90.9,91.7,92.2,92.6
Qatar,,,,,,,,,,,,72.5,,,,,,,,,,,80.9,,,,,,,88.6,,,90.4,92.7,92.9,95.4,
Romania,,,,,,,,,,,,,,,,,,95,,,,,,,,,,96.3,,,,,,,,,97.2
Russia,,,,,,,,,,,,,,,96.8,,,,,,,,,,,,,99.2,,,,,,,,99.7,
Rwanda,,,,26.6,,,,,,,,,,,,,,,,,,,,,,59.8,,,,,,,,,,61.5,
Saudi Arabia,,,,,,,,,,,,,,,,,,57.3,,,,,,,,69.3,,,,76.3,,,,,,,82.2
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,,,,,,,,,,,63.2
Senegal,,,,,,,,,,,,,,17.9,,,,,,,,,,,,,,29.3,,,,33,,,38.7,,
Singapore,,,,,,74,,,,,,,,,,83,,,,,,,,,,88.7,,,,,,,,,,93.8,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,,,32.6
El Salvador,,,,,,,,,,,,,,,,,,71.3,,,,,,,,,,,,78.4,,81,79.7,81.4,81.8,82.3,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9
Sao Tome and Principe,,,,,,,42.4,,,,,,,,,,61.9,,,,,,,,,,78,,,,,,,60.1,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,,,,93.8,,94,
Slovenia,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,99.6,,,,,,,99.7
Eswatini,,53.7,,,,,,,,,,65.2,,,,,,,,,,,,,,80.3,,,,,,,,,,,87.3
Seychelles,,,,,,,,,,,,,85.5,,,,,,,88.6,,,,,,,,92.3,,,,,,,,,92.3
Syria,,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,74.2,,73.6,,,,,,,77.8
Chad,,,,,,,,,,,,,,,,,,,4.59,,,,,,,12.8,,,,18,,,,,,,25.4
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,44.4,,,43.6,,48
Thailand,,,,,,83.9,,,,,,,,,,,,,,,,,,,,90.5,,,,,91.5,,,,,,
Tajikistan,,,,,,,,,,,,,,,96.6,,,,,,,,,,,99.2,,,,,,,,,,,99.6
Turkmenistan,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,,,,,,,,,,99.5
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,42.5,,,53,
Tonga,,99.5,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,99.1,,,,,
Trinidad and Tobago,,,,,,93.5,,,,,,,,,,95.7,,,,,,,,,,,,,,97.8,,,,,,,98.5
Tunisia,,,,,,,,,,35.8,,,,,,,,,,48.2,,,,,,,,,,65.3,,,68.5,71,,71.1,
Turkey,45.1,,,,,49.8,,,,,64.2,,,,,68.5,,,,,,,,,,,,,,79.6,80.5,80.4,81.3,,85.3,88.1,90.3
Tanzania,,,,,,,,,,,,,,48.1,,,,,,,,,,,,,,62.2,,,,,,,,60.8,
Uganda,,,,,,,,,,,,,,,,,44.8,,,,,,,,,,,58.9,,,,62.1,,,,64.6,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,99.7
