,Index,Year,Lit,Pop,Sat,Gender
457,South America,1987,,12606361.400000006,12606361.400000006,F
458,South America,1988,,12842969.399999995,12842969.399999995,F
459,South America,1989,86.2,13078687.849347573,13078687.849347573,F
460,South America,1990,96.0,13314040.600000003,13314040.600000003,F
461,South America,1991,91.3,13548775.100000003,13548775.100000003,F
462,South America,1992,81.45,13782402.699999994,13782402.699999994,F
463,South America,1993,,14014930.099999994,14014930.099999994,F
464,South America,1994,,14246406.600000005,14246406.600000005,F
465,South America,1995,94.3,14476707.5,14476707.5,F
466,South America,1996,,14705853.900000006,14705853.900000006,F
467,South America,1997,,14933355.399999995,14933355.399999995,F
468,South America,1998,,15157971.700000003,15157971.700000003,F
469,South America,1999,86.5,15378093.49999999,15378093.49999999,F
470,South America,2000,93.45,15592540.199999992,15592540.199999992,F
471,South America,2001,95.6,15800980.900000002,15800980.900000002,F
472,South America,2002,,16003615.600000009,16003615.600000009,F
473,South America,2003,87.7,16200442.600000005,16200442.600000005,F
474,South America,2004,87.7,16391652.699999992,16391652.699999992,F
475,South America,2005,90.92500000000001,16577522.199999994,16577522.199999994,F
476,South America,2006,90.18333333333334,16758293.6,16758293.6,F
477,South America,2007,94.51666666666667,16934357.6,16934357.6,F
478,South America,2008,91.82857142857144,17106423.849602412,17106423.849602412,F
479,South America,2009,93.35000000000001,17275380.000000007,17275380.000000007,F
480,South America,2010,93.93333333333334,17442132.099999994,17442132.099999994,F
481,South-Eastern Asia,1974,,18581068.0,18581068.0,F
482,South-Eastern Asia,1975,,19042668.714285728,19042668.714285728,F
483,South-Eastern Asia,1976,,19498284.428571433,19498284.428571433,F
484,South-Eastern Asia,1977,,19949718.571428563,19949718.571428563,F
485,South-Eastern Asia,1978,,20402462.57142858,20402462.57142858,F
486,South-Eastern Asia,1979,71.94000000000001,20864371.930265956,20864371.930265956,F
487,South-Eastern Asia,1980,,21340897.28571429,21340897.28571429,F
488,South-Eastern Asia,1981,,21833172.285714287,21833172.285714287,F
489,South-Eastern Asia,1982,71.6,22338670.857142862,22338670.857142862,F
490,South-Eastern Asia,1983,,22854626.857142866,22854626.857142866,F
491,South-Eastern Asia,1984,,23376783.999999996,23376783.999999996,F
492,South-Eastern Asia,1985,,23901483.142857146,23901483.142857146,F
493,South-Eastern Asia,1986,,24428714.142857153,24428714.142857153,F
494,South-Eastern Asia,1987,,24957876.85714287,24957876.85714287,F
495,South-Eastern Asia,1988,,25483972.142857134,25483972.142857134,F
496,South-Eastern Asia,1989,83.83333333333333,26000792.857142862,26000792.857142862,F
497,South-Eastern Asia,1990,77.3,26504143.714285724,26504143.714285724,F
498,South-Eastern Asia,1991,,26991244.857142843,26991244.857142843,F
499,South-Eastern Asia,1992,,27463651.71428571,27463651.71428571,F
500,South-Eastern Asia,1993,,27926893.64217933,27926893.64217933,F
501,South-Eastern Asia,1994,,28389084.57142857,28389084.57142857,F
502,South-Eastern Asia,1995,,28856017.857142862,28856017.857142862,F
503,South-Eastern Asia,1996,,29329840.142857134,29329840.142857134,F
504,South-Eastern Asia,1997,57.0,29808571.857142862,29808571.857142862,F
505,South-Eastern Asia,1998,,30288935.71428571,30288935.71428571,F
506,South-Eastern Asia,1999,88.72,30765843.71428572,30765843.71428572,F
507,South-Eastern Asia,2000,30.0,31235787.142857164,31235787.142857164,F
508,South-Eastern Asia,2001,,31697679.857142862,31697679.857142862,F
509,South-Eastern Asia,2002,93.6,32153272.00000002,32153272.00000002,F
510,South-Eastern Asia,2003,75.4,32605261.571428575,32605261.571428575,F
511,South-Eastern Asia,2004,91.5,33057567.571428556,33057567.571428556,F
